COD_INE,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,ARCHIVO_TMY,ZC_CTE_2019,ZCI_CTE_2019,ZCV_CTE_2019,GD_I,GD_V,n_N,SCI,SCV,ZCI_TMY,ZCV_TMY,ZCI_DIFF,ZCV_DIFF
01043000000,01,Araba/Álava,Oyón-Oion,3418,-2.436788,42.506067,435.0,01043000000_Oyón-Oion.csv,D1,D,1,2579.8,205.6,0.6,1.1,0.44,D,1,0,0
01044000000,01,Araba/Álava,Peñacerrada-Urizaharra,299,-2.71402821,42.64417512,752.0,01044000000_Peñacerrada-Urizaharra.csv,E1,E,1,2636.6,142.7,0.529,1.18,0.25,D,1,-1,0
01046000000,01,Araba/Álava,Erriberagoitia/Ribera Alta,826,-2.91080642,42.80074682,545.0,01046000000_Erriberagoitia__Ribera Alta.csv,D1,D,1,2924.5,150.5,0.448,1.45,0.28,D,1,0,0
01047000000,01,Araba/Álava,Erriberabeitia,1421,-2.91704002,42.71339792,483.0,01047000000_Erriberabeitia.csv,D1,D,1,3055.0,176.6,0.446,1.56,0.35,E,1,1,0
01049000000,01,Araba/Álava,Añana,155,-2.98601634,42.8012318,574.0,01049000000_Añana.csv,D1,D,1,2852.9,110.9,0.415,1.41,0.16,D,1,0,0
01051000000,01,Araba/Álava,Agurain/Salvatierra,5029,-2.389753,42.850452,608.0,01051000000_Agurain__Salvatierra.csv,E1,E,1,3119.9,146.0,0.46,1.61,0.26,E,1,0,0
01052000000,01,Araba/Álava,Samaniego,308,-2.67904862,42.56735197,571.0,01052000000_Samaniego.csv,D1,D,1,2909.2,197.4,0.565,1.38,0.41,D,1,0,0
01053000000,01,Araba/Álava,San Millán/Donemiliaga,716,-2.37748902,42.87382571,600.0,01053000000_San Millán__Donemiliaga.csv,E1,E,1,3119.9,146.0,0.468,1.61,0.26,E,1,0,0
01054000000,01,Araba/Álava,Urkabustaiz,1414,-2.90661046,42.95304046,633.0,01054000000_Urkabustaiz.csv,E1,E,1,2879.1,63.9,0.468,1.4,0.02,D,1,-1,0
01055000000,01,Araba/Álava,Valdegovía/Gaubea,1049,-3.09884417,42.84756896,552.0,01055000000_Valdegovía__Gaubea.csv,D1,D,1,2970.3,147.1,0.456,1.49,0.27,D,1,0,0
01056000000,01,Araba/Álava,Harana/Valle de Arana,226,-2.33104687,42.75289194,812.0,01056000000_Harana__Valle de Arana.csv,E1,E,1,3050.0,193.6,0.495,1.54,0.4,E,1,0,0
01057000000,01,Araba/Álava,Villabuena de Álava/Eskuernaga,287,-2.66452938,42.54857804,483.0,01057000000_Villabuena de Álava__Eskuernaga.csv,D1,D,1,2780.9,179.5,0.499,1.31,0.36,D,1,0,0
01058000000,01,Araba/Álava,Legutio,1993,-2.64255929,42.9798744,570.0,01058000000_Legutio.csv,D1,D,1,2811.8,120.0,0.464,1.35,0.19,D,1,0,0
01059000000,01,Araba/Álava,Vitoria-Gasteiz,253093,-2.67275685,42.85058789,539.0,01059000000_Vitoria-Gasteiz.csv,D1,D,1,2771.7,116.9,0.51,1.29,0.18,D,1,0,0
01060000000,01,Araba/Álava,Yécora/Iekora,266,-2.4700849,42.56923117,694.0,01060000000_Yécora__Iekora.csv,E1,E,1,2580.0,148.6,0.568,1.11,0.27,D,1,-1,0
01061000000,01,Araba/Álava,Zalduondo,192,-2.34650825,42.88580971,612.0,01061000000_Zalduondo.csv,E1,E,1,3012.2,98.8,0.496,1.5,0.12,D,1,-1,0
01062000000,01,Araba/Álava,Zambrana,432,-2.87806502,42.66112968,458.0,01062000000_Zambrana.csv,D1,D,1,2832.2,155.4,0.558,1.32,0.29,D,1,0,0
01063000000,01,Araba/Álava,Zuia,2318,-2.81862854,42.95597763,617.0,01063000000_Zuia.csv,E1,E,1,2952.6,109.9,0.441,1.48,0.16,D,1,-1,0
01901000000,01,Araba/Álava,Iruña Oka/Iruña de Oca,3468,-2.8147543,42.81819126,502.0,01901000000_Iruña Oka__Iruña de Oca.csv,D1,D,1,2859.7,96.3,0.52,1.36,0.12,D,1,0,0
01902000000,01,Araba/Álava,Lantarón,915,-2.96649719,42.71657557,482.0,01902000000_Lantarón.csv,D1,D,1,2872.5,156.8,0.494,1.39,0.29,D,1,0,0
02001000000,02,Albacete,Abengibre,748,-1.54384487,39.2100078,634.0,02001000000_Abengibre.csv,D3,D,3,2261.9,604.4,0.758,0.77,1.59,C,4,-1,1
02002000000,02,Albacete,Alatoz,496,-1.36097604,39.09494843,858.0,02002000000_Alatoz.csv,D3,D,3,2644.7,392.0,0.604,1.15,0.98,D,3,0,0
02003000000,02,Albacete,Albacete,172722,-1.85574745,38.99588053,681.0,02003000000_Albacete.csv,D3,D,3,2339.1,563.8,0.714,0.85,1.48,C,4,-1,1
02004000000,02,Albacete,Albatana,681,-1.52275248,38.5708754,582.0,02004000000_Albatana.csv,D3,D,3,2002.2,563.5,0.726,0.6,1.48,C,4,-1,1
02005000000,02,Albacete,Alborea,670,-1.39670449,39.27835442,706.0,02005000000_Alborea.csv,D3,D,3,2404.5,549.1,0.724,0.9,1.44,C,4,-1,1
02006000000,02,Albacete,Alcadozo,632,-1.9802275,38.6489758,925.0,02006000000_Alcadozo.csv,D3,D,3,2491.4,360.2,0.743,0.95,0.89,D,3,0,0
02007000000,02,Albacete,Alcalá del Júcar,1153,-1.42932697,39.1932018,547.0,02007000000_Alcalá del Júcar.csv,D3,D,3,2391.5,559.3,0.669,0.92,1.46,C,4,-1,1
02008000000,02,Albacete,Alcaraz,1310,-2.49034957,38.66425104,953.0,02008000000_Alcaraz.csv,E1,E,1,2650.4,494.6,0.635,1.13,1.28,D,3,-1,2
02009000000,02,Albacete,Almansa,24388,-1.09414681,38.86968811,687.0,02009000000_Almansa.csv,D3,D,3,2331.3,492.7,0.718,0.85,1.27,C,3,-1,0
02010000000,02,Albacete,Alpera,2285,-1.23080245,38.95969094,852.0,02010000000_Alpera.csv,D3,D,3,2452.5,467.8,0.752,0.92,1.2,C,3,-1,0
02011000000,02,Albacete,Ayna,582,-2.07053831,38.55217746,696.0,02011000000_Ayna.csv,D3,D,3,2465.7,512.1,0.575,1.02,1.33,D,3,0,0
02012000000,02,Albacete,Balazote,2363,-2.15096732,38.88396156,771.0,02012000000_Balazote.csv,D3,D,3,2542.0,548.0,0.764,0.98,1.43,D,4,0,1
02013000000,02,Albacete,Balsa de Ves,129,-1.19650012,39.26461253,751.0,02013000000_Balsa de Ves.csv,D3,D,3,2200.8,411.4,0.664,0.78,1.04,C,3,-1,0
02014000000,02,Albacete,El Ballestero,413,-2.45508633,38.84252196,1027.0,02014000000_El Ballestero.csv,E1,E,1,2566.4,533.7,0.727,1.02,1.39,D,4,-1,3
02015000000,02,Albacete,Barrax,1808,-2.20045637,39.0456106,733.0,02015000000_Barrax.csv,D3,D,3,2518.7,579.2,0.727,0.98,1.52,D,4,0,1
02016000000,02,Albacete,Bienservida,595,-2.61184243,38.51602097,898.0,02016000000_Bienservida.csv,D3,D,3,2298.7,624.0,0.622,0.87,1.65,C,4,-1,1
02017000000,02,Albacete,Bogarra,768,-2.21253636,38.58025427,844.0,02017000000_Bogarra.csv,D3,D,3,2784.0,410.6,0.505,1.31,1.04,D,3,0,0
02018000000,02,Albacete,Bonete,1031,-1.34830324,38.86950589,886.0,02018000000_Bonete.csv,D3,D,3,2395.3,458.5,0.738,0.88,1.18,C,3,-1,0
02019000000,02,Albacete,El Bonillo,2718,-2.54023691,38.95012362,1062.0,02019000000_El Bonillo.csv,E1,E,1,2738.1,441.2,0.721,1.16,1.13,D,3,-1,2
02020000000,02,Albacete,Carcelén,496,-1.30876708,39.10231176,911.0,02020000000_Carcelén.csv,D3,D,3,2546.7,457.9,0.574,1.08,1.17,D,3,0,0
02021000000,02,Albacete,Casas de Juan Núñez,1361,-1.55799035,39.10160749,704.0,02021000000_Casas de Juan Núñez.csv,D3,D,3,2333.9,466.6,0.716,0.85,1.2,C,3,-1,0
02022000000,02,Albacete,Casas de Lázaro,328,-2.23922378,38.7705758,942.0,02022000000_Casas de Lázaro.csv,D3,D,3,2776.1,360.7,0.74,1.18,0.89,D,3,0,0
02023000000,02,Albacete,Casas de Ves,564,-1.33454992,39.25946122,707.0,02023000000_Casas de Ves.csv,D3,D,3,2297.2,521.9,0.744,0.81,1.36,C,3,-1,0
02024000000,02,Albacete,Casas-Ibáñez,4540,-1.47129143,39.28701686,708.0,02024000000_Casas-Ibáñez.csv,D3,D,3,2451.4,486.7,0.743,0.92,1.26,C,3,-1,0
02025000000,02,Albacete,Caudete,10077,-0.9886912,38.70573009,554.0,02025000000_Caudete.csv,D3,D,3,2092.8,527.1,0.72,0.67,1.37,C,3,-1,0
02026000000,02,Albacete,Cenizate,1186,-1.66113349,39.30332101,706.0,02026000000_Cenizate.csv,D3,D,3,2338.8,494.0,0.727,0.85,1.28,C,3,-1,0
02027000000,02,Albacete,Corral-Rubio,306,-1.4608525,38.83500072,870.0,02027000000_Corral-Rubio.csv,D3,D,3,2472.4,428.5,0.693,0.97,1.09,D,3,0,0
02028000000,02,Albacete,Cotillas,134,-2.50574545,38.43135915,947.0,02028000000_Cotillas.csv,D3,D,3,2537.7,448.5,0.644,1.04,1.15,D,3,0,0
02029000000,02,Albacete,Chinchilla de Monte-Aragón,4344,-1.72602643,38.9210968,907.0,02029000000_Chinchilla de Monte-Aragón.csv,D3,D,3,2423.5,532.4,0.707,0.92,1.39,C,4,-1,1
02030000000,02,Albacete,Elche de la Sierra,3557,-2.04781376,38.44790893,630.0,02030000000_Elche de la Sierra.csv,D3,D,3,2236.6,532.8,0.743,0.76,1.39,C,4,-1,1
02031000000,02,Albacete,Férez,628,-2.00953934,38.35567013,682.0,02031000000_Férez.csv,D3,D,3,2646.6,369.5,0.723,1.09,0.92,D,3,0,0
02032000000,02,Albacete,Fuensanta,280,-2.06725219,39.24466001,693.0,02032000000_Fuensanta.csv,D3,D,3,2490.1,721.8,0.73,0.96,1.93,D,4,0,1
02033000000,02,Albacete,Fuente-Álamo,2447,-1.43170411,38.69314229,820.0,02033000000_Fuente-Álamo.csv,D3,D,3,2180.0,427.1,0.742,0.72,1.08,C,3,-1,0
02034000000,02,Albacete,Fuentealbilla,1836,-1.54879364,39.26773579,670.0,02034000000_Fuentealbilla.csv,D3,D,3,2266.7,533.5,0.713,0.8,1.39,C,4,-1,1
02035000000,02,Albacete,La Gineta,2554,-1.99784496,39.11387916,691.0,02035000000_La Gineta.csv,D3,D,3,2466.5,676.6,0.678,0.97,1.8,D,4,0,1
02036000000,02,Albacete,Golosalvo,99,-1.63626863,39.23996013,740.0,02036000000_Golosalvo.csv,D3,D,3,2277.3,490.5,0.723,0.8,1.27,C,3,-1,0
02037000000,02,Albacete,Hellín,30427,-1.70344921,38.51218953,570.0,02037000000_Hellín.csv,D3,D,3,2043.0,526.6,0.762,0.61,1.37,C,3,-1,0
02038000000,02,Albacete,La Herrera,311,-2.12637236,38.9621774,714.0,02038000000_La Herrera.csv,D3,D,3,2172.9,510.5,0.78,0.7,1.32,C,3,-1,0
02039000000,02,Albacete,Higueruela,1144,-1.44535609,38.96455026,1041.0,02039000000_Higueruela.csv,E1,E,1,2533.2,460.1,0.692,1.01,1.18,D,3,-1,2
02040000000,02,Albacete,Hoya-Gonzalo,598,-1.55687053,38.95787352,929.0,02040000000_Hoya-Gonzalo.csv,D3,D,3,2499.1,523.7,0.749,0.96,1.36,D,3,0,0
02041000000,02,Albacete,Jorquera,363,-1.52061391,39.17457441,624.0,02041000000_Jorquera.csv,D3,D,3,2388.0,568.8,0.551,0.97,1.49,D,4,0,1
02042000000,02,Albacete,Letur,909,-2.10096881,38.36632081,735.0,02042000000_Letur.csv,D3,D,3,2458.8,481.8,0.737,0.93,1.24,C,3,-1,0
02043000000,02,Albacete,Lezuza,1322,-2.35387427,38.94878996,913.0,02043000000_Lezuza.csv,D3,D,3,2531.5,519.4,0.711,1.0,1.35,D,3,0,0
02044000000,02,Albacete,Liétor,1123,-1.95479319,38.54083745,641.0,02044000000_Liétor.csv,D3,D,3,2253.1,432.2,0.611,0.84,1.1,C,3,-1,0
02045000000,02,Albacete,Madrigueras,4654,-1.7997012,39.23680339,688.0,02045000000_Madrigueras.csv,D3,D,3,2450.0,533.0,0.751,0.92,1.39,C,4,-1,1
02046000000,02,Albacete,Mahora,1380,-1.72481837,39.21303088,663.0,02046000000_Mahora.csv,D3,D,3,2286.4,563.6,0.728,0.81,1.48,C,4,-1,1
02047000000,02,Albacete,Masegoso,105,-2.31511768,38.71877813,1108.0,02047000000_Masegoso.csv,E1,E,1,2574.6,396.9,0.652,1.07,1.0,D,3,-1,2
02048000000,02,Albacete,Minaya,1483,-2.31961973,39.27118701,723.0,02048000000_Minaya.csv,D3,D,3,2465.3,579.6,0.696,0.96,1.52,D,4,0,1
02049000000,02,Albacete,Molinicos,829,-2.23898151,38.46778179,851.0,02049000000_Molinicos.csv,D3,D,3,2467.8,592.0,0.572,1.02,1.56,D,4,0,1
02050000000,02,Albacete,Montalvos,86,-2.02769341,39.16721439,709.0,02050000000_Montalvos.csv,D3,D,3,2443.9,731.6,0.744,0.92,1.95,C,4,-1,1
02051000000,02,Albacete,Montealegre del Castillo,2038,-1.32487672,38.78717469,810.0,02051000000_Montealegre del Castillo.csv,D3,D,3,2243.7,477.8,0.74,0.77,1.23,C,3,-1,0
02052000000,02,Albacete,Motilleja,605,-1.79025762,39.17948885,676.0,02052000000_Motilleja.csv,D3,D,3,2443.7,508.9,0.744,0.92,1.32,C,3,-1,0
02053000000,02,Albacete,Munera,3433,-2.4830388,39.03954575,929.0,02053000000_Munera.csv,D3,D,3,2427.8,381.6,0.707,0.92,0.95,C,3,-1,0
02054000000,02,Albacete,Navas de Jorquera,536,-1.7189485,39.28099513,708.0,02054000000_Navas de Jorquera.csv,D3,D,3,2375.1,540.8,0.716,0.88,1.41,C,4,-1,1
02055000000,02,Albacete,Nerpio,1197,-2.30224029,38.14824043,1085.0,02055000000_Nerpio.csv,E1,E,1,3121.8,276.0,0.644,1.53,0.65,E,2,0,1
02056000000,02,Albacete,Ontur,1963,-1.49888166,38.61472661,653.0,02056000000_Ontur.csv,D3,D,3,2159.5,541.3,0.721,0.72,1.41,C,4,-1,1
02057000000,02,Albacete,Ossa de Montiel,2241,-2.74272664,38.96201035,898.0,02057000000_Ossa de Montiel.csv,D3,D,3,2689.8,509.5,0.676,1.15,1.32,D,3,0,0
02058000000,02,Albacete,Paterna del Madera,323,-2.34555766,38.59729435,1126.0,02058000000_Paterna del Madera.csv,E1,E,1,2730.4,334.1,0.57,1.23,0.81,D,2,-1,1
02059000000,02,Albacete,Peñascosa,320,-2.41040499,38.67153536,1169.0,02059000000_Peñascosa.csv,E1,E,1,2605.1,436.2,0.66,1.09,1.11,D,3,-1,2
02060000000,02,Albacete,Peñas de San Pedro,1410,-2.00212787,38.72688881,1010.0,02060000000_Peñas de San Pedro.csv,E1,E,1,2588.1,351.4,0.705,1.05,0.87,D,3,-1,2
02061000000,02,Albacete,Pétrola,676,-1.55549981,38.82629814,870.0,02061000000_Pétrola.csv,D3,D,3,2325.9,543.5,0.7,0.85,1.42,C,4,-1,1
02062000000,02,Albacete,Povedilla,401,-2.60393627,38.70163971,872.0,02062000000_Povedilla.csv,D3,D,3,2308.3,625.5,0.615,0.88,1.65,C,4,-1,1
02063000000,02,Albacete,Pozohondo,1584,-1.91133356,38.721122,871.0,02063000000_Pozohondo.csv,D3,D,3,2466.7,405.9,0.753,0.93,1.02,C,3,-1,0
02064000000,02,Albacete,Pozo-Lorente,394,-1.50647855,39.07663024,769.0,02064000000_Pozo-Lorente.csv,D3,D,3,2470.6,451.0,0.697,0.96,1.15,D,3,0,0
02065000000,02,Albacete,Pozuelo,465,-2.10117384,38.80969625,845.0,02065000000_Pozuelo.csv,D3,D,3,2473.8,636.4,0.739,0.94,1.68,D,4,0,1
02066000000,02,Albacete,La Recueja,225,-1.48988779,39.17688319,542.0,02066000000_La Recueja.csv,D3,D,3,2323.0,505.0,0.651,0.87,1.31,C,3,-1,0
02067000000,02,Albacete,Riópar,1326,-2.41839311,38.4998099,1126.0,02067000000_Riópar.csv,E1,E,1,2710.5,472.6,0.601,1.2,1.22,D,3,-1,2
02068000000,02,Albacete,Robledo,391,-2.44882682,38.75778452,1041.0,02068000000_Robledo.csv,E1,E,1,2572.8,455.6,0.63,1.08,1.17,D,3,-1,2
02069000000,02,Albacete,La Roda,15401,-2.15924796,39.20706504,708.0,02069000000_La Roda.csv,D3,D,3,2439.9,602.7,0.704,0.93,1.59,C,4,-1,1
02070000000,02,Albacete,Salobre,461,-2.55057256,38.59195258,920.0,02070000000_Salobre.csv,D3,D,3,2555.0,453.4,0.537,1.11,1.16,D,3,0,0
02071000000,02,Albacete,San Pedro,1148,-2.186211,38.82654004,844.0,02071000000_San Pedro.csv,D3,D,3,2606.6,458.3,0.744,1.04,1.17,D,3,0,0
02072000000,02,Albacete,Socovos,1750,-1.98469065,38.33202632,734.0,02072000000_Socovos.csv,D3,D,3,2499.4,384.2,0.736,0.96,0.96,D,3,0,0
02073000000,02,Albacete,Tarazona de la Mancha,6184,-1.91280979,39.26539647,713.0,02073000000_Tarazona de la Mancha.csv,D3,D,3,2332.9,549.8,0.713,0.85,1.44,C,4,-1,1
02074000000,02,Albacete,Tobarra,7691,-1.69282296,38.5922733,652.0,02074000000_Tobarra.csv,D3,D,3,1925.1,595.6,0.753,0.54,1.57,C,4,-1,1
02075000000,02,Albacete,Valdeganga,1947,-1.67646922,39.13545152,667.0,02075000000_Valdeganga.csv,D3,D,3,2296.5,574.4,0.73,0.81,1.51,C,4,-1,1
02076000000,02,Albacete,Vianos,327,-2.50149079,38.632307,1118.0,02076000000_Vianos.csv,E1,E,1,2378.4,536.6,0.645,0.92,1.4,C,4,-2,3
02077000000,02,Albacete,Villa de Ves,62,-1.25897631,39.22231541,744.0,02077000000_Villa de Ves.csv,D3,D,3,2264.7,396.3,0.709,0.8,1.0,C,3,-1,0
02078000000,02,Albacete,Villalgordo del Júcar,1081,-2.06309183,39.29598679,683.0,02078000000_Villalgordo del Júcar.csv,D3,D,3,2441.1,583.6,0.682,0.95,1.53,D,4,0,1
02079000000,02,Albacete,Villamalea,4040,-1.59908353,39.36160785,739.0,02079000000_Villamalea.csv,D3,D,3,2336.5,540.1,0.699,0.86,1.41,C,4,-1,1
02080000000,02,Albacete,Villapalacios,556,-2.63505947,38.57467359,837.0,02080000000_Villapalacios.csv,D3,D,3,2254.9,531.9,0.656,0.82,1.39,C,4,-1,1
02081000000,02,Albacete,Villarrobledo,24978,-2.60714311,39.26755792,728.0,02081000000_Villarrobledo.csv,D3,D,3,2376.0,588.9,0.715,0.88,1.55,C,4,-1,1
02082000000,02,Albacete,Villatoya,108,-1.33858599,39.33385264,409.0,02082000000_Villatoya.csv,C3,C,3,2232.3,573.5,0.704,0.78,1.51,C,4,0,1
02083000000,02,Albacete,Villavaliente,214,-1.45799642,39.12645758,726.0,02083000000_Villavaliente.csv,D3,D,3,2296.4,524.0,0.731,0.81,1.36,C,3,-1,0
02084000000,02,Albacete,Villaverde de Guadalimar,333,-2.518480636,38.456169,799.0,02084000000_Villaverde de Guadalimar.csv,D3,D,3,2537.7,498.3,0.609,1.06,1.29,D,3,0,0
02085000000,02,Albacete,Viveros,328,-2.57590915,38.77363475,1012.0,02085000000_Viveros.csv,E1,E,1,2404.4,619.8,0.663,0.93,1.64,C,4,-2,3
02086000000,02,Albacete,Yeste,2567,-2.31903072,38.36643865,878.0,02086000000_Yeste.csv,D3,D,3,2671.5,393.5,0.625,1.16,0.99,D,3,0,0
02901000000,02,Albacete,Pozo Cañada,2797,-1.73622317,38.801361,830.0,02901000000_Pozo Cañada.csv,D3,D,3,2537.7,574.7,0.652,1.04,1.51,D,4,0,1
03001000000,03,Alacant/Alicante,l'Atzúbia,609,-0.15173035,38.84743029,99.0,03001000000_l'Atzúbia.csv,B4,B,4,1759.6,356.2,0.653,0.48,0.88,B,3,0,-1
03002000000,03,Alacant/Alicante,Agost,4906,-0.63891979,38.43949316,331.0,03002000000_Agost.csv,C3,C,3,1645.7,514.2,0.768,0.35,1.34,B,3,-1,0
03003000000,03,Alacant/Alicante,Agres,580,-0.51595543,38.78000404,719.0,03003000000_Agres.csv,D3,D,3,2206.1,365.9,0.612,0.81,0.91,C,3,-1,0
03004000000,03,Alacant/Alicante,Aigües,1049,-0.36258669,38.49887092,332.0,03004000000_Aigües.csv,C3,C,3,4839.2,0.0,0.729,3.24,-0.17,E,1,2,-2
03005000000,03,Alacant/Alicante,Albatera,12714,-0.86792141,38.17894636,15.0,03005000000_Albatera.csv,B4,B,4,1496.3,662.0,0.759,0.26,1.76,B,4,0,0
03006000000,03,Alacant/Alicante,Alcalalí,1336,-0.04160798,38.74965349,226.0,03006000000_Alcalalí.csv,B4,B,4,1741.4,407.0,0.716,0.43,1.03,B,3,0,-1
03007000000,03,Alacant/Alicante,Alcosser,243,-0.40197036,38.79447224,345.0,03007000000_Alcosser.csv,C3,C,3,2199.8,380.1,0.662,0.78,0.95,C,3,0,0
03008000000,03,Alacant/Alicante,Alcoleja,181,-0.33100925,38.67548564,735.0,03008000000_Alcoleja.csv,D3,D,3,1993.7,387.6,0.614,0.65,0.97,C,3,-1,0
