COD_INE,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,ARCHIVO_TMY
02001000000,02,Albacete,Abengibre,748,-1.54384487,39.2100078,634.0,02001000000_Abengibre.csv
02002000000,02,Albacete,Alatoz,496,-1.36097604,39.09494843,858.0,02002000000_Alatoz.csv
02003000000,02,Albacete,Albacete,172722,-1.85574745,38.99588053,681.0,02003000000_Albacete.csv
02004000000,02,Albacete,Albatana,681,-1.52275248,38.5708754,582.0,02004000000_Albatana.csv
02005000000,02,Albacete,Alborea,670,-1.39670449,39.27835442,706.0,02005000000_Alborea.csv
02006000000,02,Albacete,Alcadozo,632,-1.9802275,38.6489758,925.0,02006000000_Alcadozo.csv
02007000000,02,Albacete,Alcalá del Júcar,1153,-1.42932697,39.1932018,547.0,02007000000_Alcalá del Júcar.csv
02008000000,02,Albacete,Alcaraz,1310,-2.49034957,38.66425104,953.0,02008000000_Alcaraz.csv
02009000000,02,Albacete,Almansa,24388,-1.09414681,38.86968811,687.0,02009000000_Almansa.csv
02010000000,02,Albacete,Alpera,2285,-1.23080245,38.95969094,852.0,02010000000_Alpera.csv
02011000000,02,Albacete,Ayna,582,-2.07053831,38.55217746,696.0,02011000000_Ayna.csv
02012000000,02,Albacete,Balazote,2363,-2.15096732,38.88396156,771.0,02012000000_Balazote.csv
02013000000,02,Albacete,Balsa de Ves,129,-1.19650012,39.26461253,751.0,02013000000_Balsa de Ves.csv
02014000000,02,Albacete,El Ballestero,413,-2.45508633,38.84252196,1027.0,02014000000_El Ballestero.csv
02015000000,02,Albacete,Barrax,1808,-2.20045637,39.0456106,733.0,02015000000_Barrax.csv
02016000000,02,Albacete,Bienservida,595,-2.61184243,38.51602097,898.0,02016000000_Bienservida.csv
02017000000,02,Albacete,Bogarra,768,-2.21253636,38.58025427,844.0,02017000000_Bogarra.csv
02018000000,02,Albacete,Bonete,1031,-1.34830324,38.86950589,886.0,02018000000_Bonete.csv
02019000000,02,Albacete,El Bonillo,2718,-2.54023691,38.95012362,1062.0,02019000000_El Bonillo.csv
02020000000,02,Albacete,Carcelén,496,-1.30876708,39.10231176,911.0,02020000000_Carcelén.csv
02021000000,02,Albacete,Casas de Juan Núñez,1361,-1.55799035,39.10160749,704.0,02021000000_Casas de Juan Núñez.csv
02022000000,02,Albacete,Casas de Lázaro,328,-2.23922378,38.7705758,942.0,02022000000_Casas de Lázaro.csv
02023000000,02,Albacete,Casas de Ves,564,-1.33454992,39.25946122,707.0,02023000000_Casas de Ves.csv
02024000000,02,Albacete,Casas-Ibáñez,4540,-1.47129143,39.28701686,708.0,02024000000_Casas-Ibáñez.csv
02025000000,02,Albacete,Caudete,10077,-0.9886912,38.70573009,554.0,02025000000_Caudete.csv
02026000000,02,Albacete,Cenizate,1186,-1.66113349,39.30332101,706.0,02026000000_Cenizate.csv
02027000000,02,Albacete,Corral-Rubio,306,-1.4608525,38.83500072,870.0,02027000000_Corral-Rubio.csv
02028000000,02,Albacete,Cotillas,134,-2.50574545,38.43135915,947.0,02028000000_Cotillas.csv
02029000000,02,Albacete,Chinchilla de Monte-Aragón,4344,-1.72602643,38.9210968,907.0,02029000000_Chinchilla de Monte-Aragón.csv
02030000000,02,Albacete,Elche de la Sierra,3557,-2.04781376,38.44790893,630.0,02030000000_Elche de la Sierra.csv
02031000000,02,Albacete,Férez,628,-2.00953934,38.35567013,682.0,02031000000_Férez.csv
02032000000,02,Albacete,Fuensanta,280,-2.06725219,39.24466001,693.0,02032000000_Fuensanta.csv
02033000000,02,Albacete,Fuente-Álamo,2447,-1.43170411,38.69314229,820.0,02033000000_Fuente-Álamo.csv
02034000000,02,Albacete,Fuentealbilla,1836,-1.54879364,39.26773579,670.0,02034000000_Fuentealbilla.csv
02035000000,02,Albacete,La Gineta,2554,-1.99784496,39.11387916,691.0,02035000000_La Gineta.csv
02036000000,02,Albacete,Golosalvo,99,-1.63626863,39.23996013,740.0,02036000000_Golosalvo.csv
02037000000,02,Albacete,Hellín,30427,-1.70344921,38.51218953,570.0,02037000000_Hellín.csv
02038000000,02,Albacete,La Herrera,311,-2.12637236,38.9621774,714.0,02038000000_La Herrera.csv
02039000000,02,Albacete,Higueruela,1144,-1.44535609,38.96455026,1041.0,02039000000_Higueruela.csv
02040000000,02,Albacete,Hoya-Gonzalo,598,-1.55687053,38.95787352,929.0,02040000000_Hoya-Gonzalo.csv
02041000000,02,Albacete,Jorquera,363,-1.52061391,39.17457441,624.0,02041000000_Jorquera.csv
02042000000,02,Albacete,Letur,909,-2.10096881,38.36632081,735.0,02042000000_Letur.csv
02043000000,02,Albacete,Lezuza,1322,-2.35387427,38.94878996,913.0,02043000000_Lezuza.csv
02044000000,02,Albacete,Liétor,1123,-1.95479319,38.54083745,641.0,02044000000_Liétor.csv
02045000000,02,Albacete,Madrigueras,4654,-1.7997012,39.23680339,688.0,02045000000_Madrigueras.csv
02046000000,02,Albacete,Mahora,1380,-1.72481837,39.21303088,663.0,02046000000_Mahora.csv
02047000000,02,Albacete,Masegoso,105,-2.31511768,38.71877813,1108.0,02047000000_Masegoso.csv
02048000000,02,Albacete,Minaya,1483,-2.31961973,39.27118701,723.0,02048000000_Minaya.csv
02049000000,02,Albacete,Molinicos,829,-2.23898151,38.46778179,851.0,02049000000_Molinicos.csv
02050000000,02,Albacete,Montalvos,86,-2.02769341,39.16721439,709.0,02050000000_Montalvos.csv
02051000000,02,Albacete,Montealegre del Castillo,2038,-1.32487672,38.78717469,810.0,02051000000_Montealegre del Castillo.csv
02052000000,02,Albacete,Motilleja,605,-1.79025762,39.17948885,676.0,02052000000_Motilleja.csv
02053000000,02,Albacete,Munera,3433,-2.4830388,39.03954575,929.0,02053000000_Munera.csv
02054000000,02,Albacete,Navas de Jorquera,536,-1.7189485,39.28099513,708.0,02054000000_Navas de Jorquera.csv
02055000000,02,Albacete,Nerpio,1197,-2.30224029,38.14824043,1085.0,02055000000_Nerpio.csv
02056000000,02,Albacete,Ontur,1963,-1.49888166,38.61472661,653.0,02056000000_Ontur.csv
02057000000,02,Albacete,Ossa de Montiel,2241,-2.74272664,38.96201035,898.0,02057000000_Ossa de Montiel.csv
02058000000,02,Albacete,Paterna del Madera,323,-2.34555766,38.59729435,1126.0,02058000000_Paterna del Madera.csv
02059000000,02,Albacete,Peñascosa,320,-2.41040499,38.67153536,1169.0,02059000000_Peñascosa.csv
02060000000,02,Albacete,Peñas de San Pedro,1410,-2.00212787,38.72688881,1010.0,02060000000_Peñas de San Pedro.csv
02061000000,02,Albacete,Pétrola,676,-1.55549981,38.82629814,870.0,02061000000_Pétrola.csv
02062000000,02,Albacete,Povedilla,401,-2.60393627,38.70163971,872.0,02062000000_Povedilla.csv
02063000000,02,Albacete,Pozohondo,1584,-1.91133356,38.721122,871.0,02063000000_Pozohondo.csv
02064000000,02,Albacete,Pozo-Lorente,394,-1.50647855,39.07663024,769.0,02064000000_Pozo-Lorente.csv
02065000000,02,Albacete,Pozuelo,465,-2.10117384,38.80969625,845.0,02065000000_Pozuelo.csv
02066000000,02,Albacete,La Recueja,225,-1.48988779,39.17688319,542.0,02066000000_La Recueja.csv
02067000000,02,Albacete,Riópar,1326,-2.41839311,38.4998099,1126.0,02067000000_Riópar.csv
02068000000,02,Albacete,Robledo,391,-2.44882682,38.75778452,1041.0,02068000000_Robledo.csv
02069000000,02,Albacete,La Roda,15401,-2.15924796,39.20706504,708.0,02069000000_La Roda.csv
02070000000,02,Albacete,Salobre,461,-2.55057256,38.59195258,920.0,02070000000_Salobre.csv
02071000000,02,Albacete,San Pedro,1148,-2.186211,38.82654004,844.0,02071000000_San Pedro.csv
02072000000,02,Albacete,Socovos,1750,-1.98469065,38.33202632,734.0,02072000000_Socovos.csv
02073000000,02,Albacete,Tarazona de la Mancha,6184,-1.91280979,39.26539647,713.0,02073000000_Tarazona de la Mancha.csv
02074000000,02,Albacete,Tobarra,7691,-1.69282296,38.5922733,652.0,02074000000_Tobarra.csv
02075000000,02,Albacete,Valdeganga,1947,-1.67646922,39.13545152,667.0,02075000000_Valdeganga.csv
02076000000,02,Albacete,Vianos,327,-2.50149079,38.632307,1118.0,02076000000_Vianos.csv
02077000000,02,Albacete,Villa de Ves,62,-1.25897631,39.22231541,744.0,02077000000_Villa de Ves.csv
02078000000,02,Albacete,Villalgordo del Júcar,1081,-2.06309183,39.29598679,683.0,02078000000_Villalgordo del Júcar.csv
02079000000,02,Albacete,Villamalea,4040,-1.59908353,39.36160785,739.0,02079000000_Villamalea.csv
02080000000,02,Albacete,Villapalacios,556,-2.63505947,38.57467359,837.0,02080000000_Villapalacios.csv
02081000000,02,Albacete,Villarrobledo,24978,-2.60714311,39.26755792,728.0,02081000000_Villarrobledo.csv
02082000000,02,Albacete,Villatoya,108,-1.33858599,39.33385264,409.0,02082000000_Villatoya.csv
02083000000,02,Albacete,Villavaliente,214,-1.45799642,39.12645758,726.0,02083000000_Villavaliente.csv
02084000000,02,Albacete,Villaverde de Guadalimar,333,-2.518480636,38.456169,799.0,02084000000_Villaverde de Guadalimar.csv
02085000000,02,Albacete,Viveros,328,-2.57590915,38.77363475,1012.0,02085000000_Viveros.csv
02086000000,02,Albacete,Yeste,2567,-2.31903072,38.36643865,878.0,02086000000_Yeste.csv
02901000000,02,Albacete,Pozo Cañada,2797,-1.73622317,38.801361,830.0,02901000000_Pozo Cañada.csv
03001000000,03,Alacant/Alicante,l'Atzúbia,609,-0.15173035,38.84743029,99.0,03001000000_l'Atzúbia.csv
03002000000,03,Alacant/Alicante,Agost,4906,-0.63891979,38.43949316,331.0,03002000000_Agost.csv
03003000000,03,Alacant/Alicante,Agres,580,-0.51595543,38.78000404,719.0,03003000000_Agres.csv
03004000000,03,Alacant/Alicante,Aigües,1049,-0.36258669,38.49887092,332.0,03004000000_Aigües.csv
03005000000,03,Alacant/Alicante,Albatera,12714,-0.86792141,38.17894636,15.0,03005000000_Albatera.csv
03006000000,03,Alacant/Alicante,Alcalalí,1336,-0.04160798,38.74965349,226.0,03006000000_Alcalalí.csv
03007000000,03,Alacant/Alicante,Alcosser,243,-0.40197036,38.79447224,345.0,03007000000_Alcosser.csv
03008000000,03,Alacant/Alicante,Alcoleja,181,-0.33100925,38.67548564,735.0,03008000000_Alcoleja.csv
03009000000,03,Alacant/Alicante,Alcoi/Alcoy,59128,-0.473163128,38.69764173,564.0,03009000000_Alcoi__Alcoy.csv
03010000000,03,Alacant/Alicante,Alfafara,408,-0.55552339,38.77274828,580.0,03010000000_Alfafara.csv
03011000000,03,Alacant/Alicante,l'Alfàs del Pi,20495,-0.1026002,38.58009496,89.0,03011000000_l'Alfàs del Pi.csv
03012000000,03,Alacant/Alicante,Algorfa,3396,-0.79568423,38.08681637,23.0,03012000000_Algorfa.csv
03013000000,03,Alacant/Alicante,Algueña,1334,-1.00303745,38.33800138,530.0,03013000000_Algueña.csv
03014000000,03,Alacant/Alicante,Alacant/Alicante,337304,-0.4831832,38.34548705,5.0,03014000000_Alacant__Alicante.csv
03015000000,03,Alacant/Alicante,Almoradí,21404,-0.79201713,38.10977991,10.0,03015000000_Almoradí.csv
03016000000,03,Alacant/Alicante,Almudaina,117,-0.35370678,38.76155764,570.0,03016000000_Almudaina.csv
03017000000,03,Alacant/Alicante,l'Alqueria d'Asnar,498,-0.42552267,38.77311802,363.0,03017000000_l'Alqueria d'Asnar.csv
03018000000,03,Alacant/Alicante,Altea,22657,-0.05144236,38.59892497,60.0,03018000000_Altea.csv
03019000000,03,Alacant/Alicante,Aspe,21088,-0.76849107,38.34577266,234.0,03019000000_Aspe.csv
03020000000,03,Alacant/Alicante,Balones,134,-0.34237388,38.73701039,670.0,03020000000_Balones.csv
03021000000,03,Alacant/Alicante,Banyeres de Mariola,7113,-0.65685684,38.71635902,812.0,03021000000_Banyeres de Mariola.csv
03022000000,03,Alacant/Alicante,Benasau,170,-0.34261264,38.68991329,705.0,03022000000_Benasau.csv
03023000000,03,Alacant/Alicante,Beneixama,1707,-0.76676743,38.70018533,592.0,03023000000_Beneixama.csv
03024000000,03,Alacant/Alicante,Benejúzar,5453,-0.83819517,38.07806375,23.0,03024000000_Benejúzar.csv
03025000000,03,Alacant/Alicante,Benferri,1958,-0.9622579,38.14179352,56.0,03025000000_Benferri.csv
03026000000,03,Alacant/Alicante,Beniarbeig,2227,-0.00130364,38.82193219,42.0,03026000000_Beniarbeig.csv
03027000000,03,Alacant/Alicante,Beniardá,192,-0.21600764,38.68343356,464.0,03027000000_Beniardá.csv
